"Country or organisation","Category","Instrument","Year","Official Document Link"
"Germany","Energy","Energy Efficiency Act (Energieeffizienzgesetz, EnEfG)","2023","Official German text"
"Germany","Energy","Energy Efficiency Register for Data Centres (Rechenzentrumsregister, RZReg)","2024","Official RZReg portal"
"Germany","Planning","National Data Centre Strategy (Nationale Rechenzentrumsstrategie)","2026","Official strategy PDF"
"France","Energy","Energy Code, Chapter VI, Energy performance of data centres","2025","Official Energy Code chapter, Légifrance"
"France","Energy","Law No. 2025-391 of 30 April 2025, DDADUE Law","2025","Official text, Légifrance"
"France","Planning","Senate Bill No. 348, proposal to regulate the establishment of data centres on French territory","2025","Official legislative dossier, Sénat"
"France","Planning","Project Giga, calls for expressions of interest for high-power data-centre sites and low-carbon electricity","2025","Official EDF announcement"
"United Kingdom","Planning","National Planning Policy Framework, NPPF","2026","Current official NPPF"
"United Kingdom","Planning","AI Growth Zones programme","2025","Official programme"
"United Kingdom","Planning","Planning and Infrastructure Act 2025","2025","Official legislation"
"United Kingdom","Incentives","AI Opportunities Action Plan","2025","Official action plan"
"Netherlands","Planning","National policy restricting the establishment of hyperscale data centres","2022","Official preparatory decision, Staatscourant 2022, 5276"
"Netherlands","Planning","North Holland Data Centre Strategy and provincial siting restrictions","2023","Official provincial policy page"
"Netherlands","Energy","Environment and Planning Act, including data-centre environmental rules","2024","Official data-centre rules, IPLO"
"Ireland","Energy","Data Centre Energy and Sustainability Performance Reporting Obligations","2024","Official government guidance"
"Ireland","Energy","Large Energy Users Electricity Emissions Reporting Framework","2024","Official SEAI framework"
"Ireland","Energy","CRU Decision CRU/2025/236, Large Energy Users Connection Policy","2025","Official CRU decision paper"
"Ireland","Planning","Large Energy User Action Plan, LEAP","2026","Official LEAP publication"
"European Union","Energy","EU Code of Conduct for Data Centre Energy Efficiency","2008","Official European Commission programme"
"European Union","Energy","Regulation (EU) 2019/424 on ecodesign requirements for servers and data-storage products","2019","Official EUR-Lex text"
"European Union","Energy","EU Green Public Procurement Criteria for Data Centres, Server Rooms and Cloud Services","2020","Official EU GPP criteria"
"European Union","Energy","Regulation (EU) 2020/852 establishing the EU Taxonomy","2020","Official EUR-Lex text"
"European Union","Energy","Commission Delegated Regulation (EU) 2021/2139 establishing climate-related Taxonomy technical-screening criteria","2021","Official EUR-Lex text"
"European Union","Energy","Directive (EU) 2022/2555, NIS2 Directive","2022","Official EUR-Lex text"
"European Union","Energy","Directive (EU) 2022/2557, Critical Entities Resilience Directive","2022","Official EUR-Lex text"
"European Union","Energy","Directive (EU) 2023/1791, recast Energy Efficiency Directive, including Article 12 on data centres","2023","Official EUR-Lex text"
"European Union","Energy","Commission Delegated Regulation (EU) 2024/1364, first phase of the common Union rating scheme for data centres","2024","Official EUR-Lex text"
"European Union","Energy","European Database on Data Centres and associated reporting framework","2024","Article 12 of Directive (EU) 2023/1791"
"European Union","Energy","EU energy-performance framework and policy package for data centres","2024","European Commission data-centre energy-performance page"
"European Union","Energy","Strategic Roadmap for Digitalisation and Artificial Intelligence in the Energy Sector, including sustainable integration of data centres","2026","Official European Commission announcement"
"European Union","Incentives","EuroHPC AI Factories programme","2024","Official EuroHPC AI Factories programme"
"European Union","Incentives","AI Gigafactories financing framework and InvestAI Memorandum of Understanding","2025","Official European Commission memorandum"
"Albania","Energy","Law No. 124/2015 on Energy Efficiency, as amended by Law No. 28/2021","2015","Official National Energy and Climate Plan"
"Albania","Energy","Law No. 116/2016 on Energy Performance of Buildings","2016","Official National Energy and Climate Plan"
"Albania","Energy","National Energy and Climate Plan","2024","Official NECP"
"Armenia","Energy","Law on Energy Efficiency and Renewable Energy","2014","Official Armenian legal database"
"Azerbaijan","Energy","Law on Energy Resources and Energy Efficiency","2013","Official Azerbaijani legal database"
"Belarus","Energy","Law on Energy Saving","2015","Official Belarusian legal database"
"Belarus","Incentives","Decree No. 8 on the Development of the Digital Economy","2017","Official Belarusian legal database"
"Austria","Energy","Federal Energy Efficiency Act (Bundes-Energieeffizienzgesetz)","2015","Official RIS text"
"Austria","Planning","Spatial planning and building legislation","2020","Official Austrian legal database"
"Belgium","Energy","Flemish data-centre energy-performance reporting obligation","2025","Official Flemish energy-policy portal"
"Belgium","Energy","Flemish Energy Decree and energy-efficiency obligations for large energy users","2010","Official Flemish energy-policy portal"
"Belgium","Planning","Regional environmental permitting and spatial-planning rules","2014","Official Belgian legal portal"
"Bosnia and Herzegovina","Energy","Entity-level energy-efficiency legislation","2009","Official Federation legal portal"
"Bosnia and Herzegovina","Planning","Entity-level spatial-planning and construction legislation","2006","Official Federation legal portal"
"Bulgaria","Energy","Energy Efficiency Act","2015","Official Bulgarian legal information system"
"Bulgaria","Energy","Energy from Renewable Sources Act","2011","Official Bulgarian legal information system"
"Bulgaria","Planning","Spatial Development Act","2001","Official Bulgarian legal information system"
"Croatia","Energy","Energy Efficiency Act","2014","Official Croatian legal database"
"Croatia","Planning","Physical Planning Act","2013","Official Croatian legal database"
"Cyprus","Energy","Energy Efficiency Law","2009","Official Cyprus legal portal"
"Cyprus","Energy","Regulations on energy-efficiency obligations and energy audits","2015","Official Cyprus legal portal"
"Czechia","Planning","Building Act No. 283/2021 Coll.","2021","Official Czech legal database"
"Denmark","Planning","Strategy for Denmark’s Digital Growth","2018","Official government publication"
"Denmark","Energy","Danish Energy Agreement and associated energy-efficiency measures","2018","Official Danish energy-policy portal"
"Denmark","Planning","Planning Act","2019","Official Danish legal information"
"Estonia","Energy","Energy Sector Organisation Act","2016","Official English text, Riigi Teataja"
"Estonia","Planning","Planning Act","2015","Official English legal database"
"North Macedonia","Planning","Law on Spatial and Urban Planning","2020","Official North Macedonian legal database"
"North Macedonia","Energy","Law on Energy and Water Services, including renewable-energy and grid provisions","2018","Official North Macedonian legal database"
"Norway","Planning","Norway as a Data Centre Nation strategy","2018","Official government strategy"
"Norway","Planning","Government Data Centre Strategy, The Data Centre Industry, a Sustainable Industry of the Future for Digital Norway","2025","Official government strategy"
"Poland","Energy","Energy Efficiency Act","2011","Official Polish legal database"
"Poland","Energy","Act on Renewable Energy Sources","2015","Official Polish legal database"
"Portugal","Energy","Decree-Law No. 84/2024 on the energy performance and sustainability of data centres","2024","Official Diário da República legal database"
"Portugal","Energy","National Energy and Climate Plan 2030","2019","Official Portuguese government portal"
"Romania","Energy","Energy Efficiency Law No. 121/2014","2014","Official Romanian legal portal"
"Romania","Planning","Spatial Planning and Urbanism Law No. 350/2001","2001","Official Romanian legal portal"
"Russia","Energy","Energy Strategy of Russia to 2035","2020","Official Russian government publication"
"Serbia","Energy","Energy Efficiency and Rational Use of Energy Act No. 40/2021","2021","Official Serbian legal database"
"Serbia","Planning","Planning and Construction Act","2009","Official Serbian legal database"
"Slovakia","Energy","Energy Efficiency Act No. 321/2014","2014","Official Slovak legal database"
"Slovenia","Energy","Energy Act EZ-1","2014","Official Slovenian legal database"
"Slovenia","Energy","Energy Efficiency Act","2014","Official Slovenian legal database"
"Slovenia","Planning","Spatial Planning Act, ZUreP-3","2021","Official Slovenian legal database"
"Spain","Energy","Royal Decree 56/2016 on energy efficiency, energy audits and accreditation","2016","Official Spanish legal database"
"Spain","Energy","Spanish National Energy and Climate Plan 2021 to 2030","2020","Official European Commission NECP page"
"Spain","Energy","Draft Royal Decree on energy efficiency and sustainability requirements for data centres","2025","Official MITECO consultation document"
"Sweden","Energy","Energy Efficiency Act","2014","Official Swedish legal database"
"Sweden","Planning","Planning and Building Act","2010","Official Swedish legal database"
"Switzerland","Energy","Swiss Energy Strategy 2050","2017","Official Swiss Federal Office of Energy"
"Türkiye","Energy","Energy Efficiency Law No. 5627","2007","Official Turkish legal database"
"Türkiye","Energy","Energy Performance of Buildings Regulations","2008","Official Turkish legal database"
"Ukraine","Energy","Law on Energy Efficiency and Rational Use of Energy No. 40/2021","2021","Official Ukrainian legal database"
"Ukraine","Energy","Energy Strategy of Ukraine to 2050","2023","Official Ukrainian government portal"
"Finland","Energy","Energy Efficiency Act","2015","Official Finnish legal database"
"Finland","Planning","Land Use and Building Act","1999","Official Finnish legal database"
"Greece","Planning","Spatial Planning and Sustainable Development Law No. 4759/2020","2020","Official Greek legal database"
"Greece","Energy","National Energy and Climate Plan and associated data-centre sustainability requirements","2019","Official Greek NECP and recovery-plan materials"
"Hungary","Energy","Energy Efficiency Act LVII of 2015","2015","Official Hungarian legal database"
"Hungary","Energy","National Energy Strategy 2030","2020","Official Hungarian government energy portal"
"Hungary","Incentives","Investment-promotion and strategic-project framework","2021","Official Hungarian investment-promotion portal"
"Italy","Energy","Legislative Decree No. 102/2014 on energy efficiency","2014","Official Italian legal database"
"Italy","Energy","National Integrated Energy and Climate Plan","2024","Official European Commission NECP page"
"Kosovo","Energy","Law on Energy Efficiency","2016","Official Kosovo legal database"
"Latvia","Energy","Energy Efficiency Law","2015","Official Latvian legal database"
"Latvia","Planning","Spatial Development Planning Law","2011","Official Latvian legal database"
"Lithuania","Energy","Law on Energy Efficiency","2016","Official Lithuanian legal database"
"Luxembourg","Energy","Energy Efficiency Law","2015","Official Luxembourg legal database"
"Luxembourg","Energy","Climate Protection Act","2020","Official Luxembourg legal database"
"Luxembourg","Incentives","Law on aid schemes for environmental protection and energy","2019","Official Luxembourg legal database"
"Malta","Energy","Energy Efficiency and Renewable Energy Act","2010","Official Maltese legal database"
"Malta","Planning","Development Planning Act","2010","Official Maltese legal database"
"Malta","Energy","National Energy and Climate Plan","2019","Official European Commission NECP page"
"Moldova","Energy","Energy-efficiency implementation measures","2021","Official Moldovan legal database"
"Moldova","Planning","Law on Urbanism and Spatial Planning","2018","Official Moldovan legal database"
"Montenegro","Energy","Energy Efficiency Law","2019","Official Montenegrin legal database"
"Montenegro","Planning","Spatial Planning and Construction legislation","2020","Official Montenegrin legal database"
